config,O_claim,O_framing,O_structure,O_claim_perdocket,O_framing_perdocket,O_structure_perdocket,n_claim_pairs,n_claim_matched,n_framing_pairs,n_framing_matched,n_structure_pairs,n_structure_matched,n_dockets_claims,n_dockets_framing,n_dockets_structure
full_gpt-4o-mini_subgroup,0.021547502448579822,0.7293300071275838,0.7186629526462396,0.023445143646036504,0.7288654877158527,0.7208132492121345,2042,44,5612,4093,7539,5418,448,548,548
full_gpt-4o-mini_vanilla,0.02100300042863266,0.7115550198036852,0.6432835820895523,0.019051606419241925,0.7157759997981122,0.648100694799512,2333,49,5807,4132,8040,5172,475,548,548
full_gpt-5-mini_few_shot_persona,0.022622345337026777,0.7596002104155708,0.7642985380866889,0.020041436854994467,0.7599580567987161,0.767657324923936,2166,49,5703,4332,7798,5960,438,546,546
full_gpt-5-mini_few_shot_vanilla,0.025901942645698426,0.7835534013036938,0.7387545420373387,0.02039564115503097,0.7827569367205478,0.7406082619957332,2162,56,5983,4688,7981,5896,433,548,548
full_gpt-5-mini_rag_persona,0.03185595567867036,0.7683445586671394,0.7861717422559142,0.024914990106308252,0.7692331188681554,0.78801680345798,2166,69,5642,4335,7651,6015,436,548,548
full_gpt-5-mini_rag_tool_persona,0.029605263157894735,0.7763044601343206,0.7661038961038961,0.02964015845488672,0.7759700159425434,0.7669009915905436,2128,63,5807,4508,7700,5899,433,546,546
full_gpt-5-mini_rag_tool_vanilla,0.0,0.9529775463716238,0.964231547017189,0.0,0.9536854643023162,0.9639216633134746,0,0,6146,5857,7912,7629,0,545,545
full_gpt-5-mini_rag_vanilla,0.0,0.9585945232596503,0.9616010006253909,0.0,0.9585851977503438,0.9620749728872993,0,0,6062,5811,7995,7688,0,548,548
full_gpt-5-mini_subgroup,0.0,0.771858407079646,0.7561882775426446,0.0,0.7716588835043909,0.7586670369052655,0,0,5650,4361,7797,5896,0,546,546
full_gpt-5-mini_vanilla,0.022926829268292682,0.7888513513513513,0.7582932387946315,0.017774797030346363,0.7882472417318381,0.7596381337653003,2050,47,5920,4670,7898,5989,427,548,548
full_gpt-5_few_shot_persona,0.0,0.7847186370676303,0.7822515486129814,0.0,0.7843173329335692,0.7847517477935435,0,0,5811,4560,7426,5809,0,542,543
full_gpt-5_few_shot_vanilla,0.0,0.9524772497472194,0.9597404317308965,0.0,0.9522540618343538,0.9599203659160638,0,0,5934,5652,7551,7247,0,548,548
full_gpt-5_rag_persona,0.0,0.9324207243112113,0.9629730837546113,0.0,0.9335521803753849,0.9639312126295346,0,0,5771,5381,7319,7048,0,543,543
full_gpt-5_rag_tool_persona,0.0,0.936836699760356,0.9620995228357192,0.0,0.937373437458591,0.9623105609246592,0,0,5842,5473,7335,7057,0,544,547
full_gpt-5_rag_tool_vanilla,0.0,0.9544461253992268,0.9620945681906995,0.0,0.9542271698293595,0.9626070889035288,0,0,5949,5678,7677,7386,0,548,548
full_gpt-5_rag_vanilla,0.04151624548736462,0.8048780487804879,0.7711038961038961,0.04018721535061404,0.8068780176113294,0.773323127917445,2216,92,6027,4851,8008,6175,459,548,548
full_gpt-5_subgroup,0.04143337066069429,0.7949505288297509,0.7792971246006389,0.03649434708425351,0.7967404694299335,0.7814637978673591,2679,111,5862,4660,7825,6098,462,541,541
full_gpt-5_vanilla,0.06602475928473177,0.0,0.0,0.046118044156600646,0.0,0.0,1454,96,0,0,0,0,49,0,0
full_llama-3.1-8b_subgroup,0.03199431212228937,0.7448695652173913,0.7289483651054159,0.024344136495550645,0.7476816967981008,0.7329970841056859,2813,90,5750,4283,7921,5774,492,548,548
full_llama-3.1-8b_vanilla,0.0,0.9312627291242362,0.9276266533566259,0.0,0.9312986587621624,0.9324797903619567,0,0,5892,5487,8014,7434,0,548,548
full_llama-3.3-70b_subgroup,0.0,0.9311176166695367,0.957441113490364,0.0,0.9315858994006805,0.9574643158338301,0,0,5807,5407,7472,7154,0,548,548
full_llama-3.3-70b_vanilla,0.027065527065527065,0.7296642436829353,0.6841406768414068,0.024982539682539683,0.7311581895586077,0.6883038543736889,2808,76,5778,4216,7535,5155,500,548,548
